,frequency,look_back,num_nodes,batch_size,accuracy,balanced_accuracy,weighted_f1_score,weighted_precision,weighted_recall
65,5min,6,8,18,0.6796536796536796,0.4377642398215653,0.7739360206892675,0.8990916723914204,0.6796536796536796
66,5min,6,16,6,0.8865800865800866,0.49500729447082614,0.9017757969787489,0.9176987580010249,0.8865800865800866
67,5min,6,16,12,0.7904761904761904,0.5073518218717611,0.8575840920121781,0.9397363341947725,0.7904761904761904
68,5min,6,16,18,0.780952380952381,0.6295763852831406,0.8021484101922859,0.8247592877315799,0.780952380952381
69,5min,6,32,6,0.8865800865800866,0.45010537810779283,0.901385014985015,0.9168798455952109,0.8865800865800866
70,5min,6,32,12,0.8883116883116883,0.4987503620306072,0.8911729023327769,0.8940593411626159,0.8883116883116883
71,5min,6,32,18,0.8805194805194805,0.6909946799683446,0.8837960702622356,0.8871056735036584,0.8805194805194805
72,5min,10,8,6,0.8496959165942659,0.5643927476675413,0.868307042870811,0.8909749326301049,0.8496959165942659
73,5min,10,8,12,0.7662901824500434,0.5792728529041173,0.8344683382178214,0.9184396617140845,0.7662901824500434
74,5min,10,8,18,0.6637706342311034,0.47034324488216966,0.6830572502412026,0.7035401247126879,0.6637706342311034
75,5min,10,16,6,0.8479582971329279,0.4059055677250328,0.8502979264863829,0.8527507637117794,0.8479582971329279
76,5min,10,16,12,0.7775847089487402,0.6707310727210751,0.8499829078581734,0.9401599049808091,0.7775847089487402
77,5min,10,16,18,0.6559513466550826,0.3767106156429771,0.7263661199506563,0.8138943571357873,0.6559513466550826
78,5min,10,32,6,0.8488271068635969,0.37287209614779987,0.8492255173979011,0.8496244322493375,0.8488271068635969
79,5min,10,32,12,0.8540399652476107,0.4558023559234649,0.8568412881158107,0.8596674328322098,0.8540399652476107
80,5min,10,32,18,0.7341442224152911,0.5466680088360723,0.7389314076900576,0.7437913097031751,0.7341442224152911
